================================================================================================
GEOMETRIC PROBE: FAJR
label                                               n    torso_deg      hip_ratio
الجلوس للتشهد الأخير                             1656          0.8           0.35
القيام-الركعة الأولى                             1155          3.3           1.57
القيام-الركعة الثانية                             988          2.0           1.50
اعتدال-الركعة الأولى                              287          3.8           1.46
اعتدال-الركعة الثانية                             286          4.2           1.49
سجود ثاني - الركعة الثانية                        245         65.2           0.55
سجود أول - الركعة الأولى                          244         65.8           0.56
سجود ثاني - الركعة الأولى                         237         64.0           0.56
ركوع - الركعة الأولى                              225         74.4           1.52
ركوع - الركعة الثانية                             225         76.9           1.56
سجود أول - الركعة الثانية                         222         67.9           0.58
التسليم                                           192          3.6           0.35
جلسة بين السجدتين - الركعة الأولى                 187          9.8           0.40
جلسة بين السجدتين - الركعة الثانية                170          6.0           0.37
النهوض من السجود الثاني إلى القيام -للركعة الثانية    120         46.0           0.85
نزول للسجود - الركعة الأولى                        92         36.7           0.63
نزول للسجود - الركعة الثانية                       86         36.9           0.63
انحناء للركوع - الركعة الثانية                     74          4.3           1.37
انحناء للركوع - الركعة الأولى                      69          5.9           1.34
الرفع من السجود الثاني-الركعة الثانية              56         60.2           0.52
رفع اليدين لتكبيرة الإحرام                         47          2.9           1.38
نزول للسجدة الثانية - الركعة الثانية               43         66.3           0.52
الرفع من السجود - الركعة الثانية                   41         54.1           0.45
الرفع من السجود - الركعة الأولى                    37         64.0           0.53
نزول للسجدة الثانية - الركعة الأولى                34         64.6           0.48
الرفع من الركوع - الركعة الأولى                    29         46.0           1.43
الرفع من الركوع - الركعة الثانية                   23         33.3           1.37

================================================================================================
GEOMETRIC PROBE: MAGHRIB
label                                               n    torso_deg      hip_ratio
القيام-الركعة الأولى                              953         11.1           1.36
القيام-الركعة الثانية                             761         10.9           1.46
الجلوس للتشهد الأخير                              719          7.1           0.46
القيام-الركعة الثالثة                             425         10.8           1.45
الجلوس للتشهد الأول                               263          9.3           0.50
سجود ثاني - الركعة الأولى                         213         74.7           0.45
التسليم                                           134          6.1           0.46
نزول للسجود - الركعة الأولى                       131         16.8           1.26
النهوض من السجود الثاني إلى القيام -للركعة الثانية    131         12.3           0.49
سجود ثاني - الركعة الثانية                        126         71.7           0.50
سجود ثاني - الركعة الثالثة                        117         73.0           0.45
نزول للسجود - الركعة الثانية                      113         60.6           1.26
النهوض للقيام-الركعة الثالثة                      112         24.0           0.48
اعتدال-الركعة الأولى                              111          8.9           1.39
سجود أول - الركعة الثانية                         108         76.2           0.44
نزول للسجود - الركعة الثالثة                      106         57.9           1.26
اعتدال-الركعة الثالثة                              99          8.6           1.42
سجود أول - الركعة الثالثة                          99         72.9           0.45
اعتدال-الركعة الثانية                              97          8.6           1.40
سجود أول - الركعة الأولى                           87         79.4           0.48
انحناء للركوع - الركعة الأولى                      84         11.0           1.36
ركوع - الركعة الثانية                              78         84.4           1.49
ركوع - الركعة الأولى                               75         81.3           1.50
انحناء للركوع - الركعة الثانية                     75         10.0           1.47
جلسة بين السجدتين - الركعة الأولى                  72          6.7           0.49
ركوع - الركعة الثالثة                              70         78.1           1.44
جلسة بين السجدتين - الركعة الثانية                 67          8.1           0.51
جلسة بين السجدتين - الركعة الثالثة                 57         10.3           0.48
انحناء للركوع - الركعة الثالثة                     55         14.2           1.45
الرفع من السجود الثاني-الركعة الثالثة              55         56.5           0.51
رفع اليدين لتكبيرة الإحرام                         50          9.8           1.37
الرفع من الركوع - الركعة الأولى                    39         43.6           1.39
الرفع من السجود الثاني-الركعة الثانية              39         27.1           0.51
الرفع من الركوع - الركعة الثانية                   38         41.4           1.41
الرفع من السجود - الركعة الثانية                   37         28.9           0.49
نزول للسجدة الثانية - الركعة الأولى                36         63.1           0.50
الرفع من السجود - الركعة الثالثة                   36         21.2           0.47
الرفع من السجود - الركعة الأولى                    35         30.1           0.51
الرفع من الركوع - الركعة الثالثة                   35         43.6           1.43
نزول للسجدة الثانية - الركعة الثانية               31         56.2           0.50
نزول للسجدة الثانية - الركعة الثالثة               30         65.8           0.50

saved: /workspace/project/sallat/analysis/feature_probe.json
